anio,sexo,tasa_actividad
2003,TOTAL,60.7
2003,m,52.3
2003,v,70.9
2004,TOTAL,61.7
2004,m,53.9
2004,v,71.3
2005,TOTAL,62.5
2005,m,55.0
2005,v,71.4
2006,TOTAL,62.0
2006,m,53.7
2006,v,72.2
2007,TOTAL,62.4
2007,m,53.9
2007,v,72.6
2008,TOTAL,62.6
2008,m,54.63386619141464
2008,v,72.11538828694745
2009,TOTAL,62.7
2009,m,55.220531463666546
2009,v,71.60920551227105
2010,TOTAL,62.4
2010,m,55.21330468748882
2010,v,70.92630916451459
2011,TOTAL,61.4
2011,m,54.134579061994145
2011,v,69.84046800527857
2012,TOTAL,61.3
2012,m,53.91591922970817
2012,v,70.19280871259252
2013,TOTAL,60.5
2013,m,53.06249474532096
2013,v,69.42394931006537
2014,TOTAL,60.9
2014,m,53.9
2014,v,69.3
2015,TOTAL,64.2
2015,m,57.2
2015,v,72.6
2016,TOTAL,64.4
2016,m,58.0
2016,v,72.0
2017,TOTAL,63.4
2017,m,57.1
2017,v,70.6
2018,TOTAL,63.7
2018,m,57.8
2018,v,70.6
2019,TOTAL,64.8
2019,m,58.9
2019,v,71.7
